employee_id,cell_phone,city,state,num
6755,1-840-613-6475,Chicago,Illinois,60653
6885,1-912-845-2573,San Diego,California,92105
8471,1-144-282-6032,San Francisco,California,94122
7209,1-357-545-1640,Lafayette,Louisiana,70506
5644,1-286-161-5912,Peoria,Illinois,61604
7405,1-415-277-0155,Los Angeles,California,90008
5692,1-887-490-1534,New York City,New York,10035
7948,1-852-653-4546,Wilmington,Delaware,19805
7777,1-777-547-0397,Providence,Rhode Island,2908
6446,1-558-404-8184,Lafayette,Louisiana,70506
5983,1-187-555-9585,Lincoln Park,Michigan,48146
8516,1-693-198-9842,Parker,Colorado,80134
7630,1-553-274-6307,Seattle,Washington,98103
7410,1-691-467-3994,Monroe,North Carolina,28110
8962,1-162-530-5962,Jacksonville,Florida,32216
6550,1-716-675-8114,Jonesboro,Arkansas,72401
6914,1-207-259-5954,Detroit,Michigan,48234
6227,1-656-721-9742,Huntsville,Texas,77340
5572,1-463-946-6322,Houston,Texas,77036
7264,1-496-270-5247,New York City,New York,10035
7548,1-720-244-6287,Philadelphia,Pennsylvania,19120
5556,1-221-616-2829,Dallas,Texas,75220
8029,1-698-649-4923,Los Angeles,California,90045
8549,1-865-414-9773,San Jose,California,95123
8379,1-875-439-7298,Redondo Beach,California,90278
8517,1-860-576-7072,West Allis,Wisconsin,53214
8848,1-119-624-7552,Los Angeles,California,90049
7927,1-310-585-7169,Columbia,Maryland,21044
7377,1-178-367-5761,San Francisco,California,94110
8885,1-250-235-7397,Miami,Florida,33180
8580,1-337-809-9241,Morgan Hill,California,95037
8737,1-475-118-7440,New York City,New York,10035
6668,1-947-591-8074,Seattle,Washington,98103
6003,1-295-568-0609,Philadelphia,Pennsylvania,19120
5988,1-439-617-2449,Salinas,California,93905
6522,1-271-529-3010,Waynesboro,Virginia,22980
6979,1-593-465-4589,Denver,Colorado,80219
6691,1-107-477-0244,San Francisco,California,94110
6640,1-752-208-8106,Fort Worth,Texas,76106
5583,1-619-492-6953,Houston,Texas,77041
8539,1-509-492-8188,Plano,Texas,75023
5984,1-419-233-2756,Columbus,Georgia,31907
7655,1-788-395-6390,Springfield,Missouri,65807
7674,1-720-560-2529,New York City,New York,10035
6461,1-744-280-7468,Mesa,Arizona,85204
7935,1-760-200-5819,Seattle,Washington,98115
8766,1-267-176-4742,Hialeah,Florida,33012
7197,1-928-623-7647,Henderson,Kentucky,42420
8447,1-951-651-4313,Los Angeles,California,90004
8410,1-420-796-5961,Philadelphia,Pennsylvania,19140
7317,1-388-729-3540,Coral Springs,Florida,33065
8771,1-429-637-5346,New York City,New York,10035
5559,1-567-130-4506,Fort Collins,Colorado,80525
7122,1-738-469-6123,San Francisco,California,94109
7178,1-260-519-4965,New York City,New York,10024
7649,1-539-501-4299,Dallas,Texas,75217
6037,1-195-621-8542,Houston,Texas,77041
8468,1-402-243-4849,Houston,Texas,77070
7960,1-150-317-9293,New York City,New York,10009
8673,1-488-690-7420,San Jose,California,95123
8146,1-649-159-2922,Troy,Ohio,45373
6821,1-496-599-4480,San Francisco,California,94110
8090,1-379-779-0602,Lansing,Michigan,48911
8653,1-732-980-9887,Scottsdale,Arizona,85254
7415,1-472-570-5186,Springfield,Oregon,97477
6334,1-970-164-9866,Springfield,Oregon,97477
5691,1-165-944-2747,Columbus,Ohio,43229
6938,1-611-584-5009,Clarksville,Tennessee,37042
8057,1-245-226-5668,Littleton,Colorado,80122
7922,1-819-409-4932,Brownsville,Texas,78521
6226,1-191-471-1305,Encinitas,California,92024
6700,1-432-896-6702,Redlands,California,92374
6045,1-162-509-9684,Fayetteville,North Carolina,28314
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
